1994group.ac.uk, The 1994 Group
rsp.ac.uk, University of Nottingham
rugby-coll.ac.uk, University of Warwick
rugby-college.ac.uk, "Warwickshire College,  Royal Leamington Spa,  Rugby and Moreton Morrell"
rugby.ac.uk, Rugby College of FE
rugbycoll.ac.uk, "Warwickshire College,  Royal Leamington Spa,  Rugby and Moreton Morrell"
rugit.ac.uk, University of Bristol
runshaw.ac.uk, Runshaw College
runshawcollege.ac.uk, Runshaw College
rural-health.ac.uk, Institute of Rural Health
ruru.ac.uk, University of Edinburgh
ruskin.ac.uk, Ruskin College
russell-group.ac.uk, London School of Economics and Political Science
russellgroup.ac.uk, London School of Economics and Political Science
rutc.ac.uk, Richmond upon Thames College
rutherford.ac.uk, Rutherford Appleton Laboratory
rutlandcollege.ac.uk, Tresham Institute
rvc.ac.uk, Royal Veterinary College
rwcmd.ac.uk, Royal Welsh College of Music and Drama
s-cat.ac.uk, Shrewsbury College of Arts and Technology
s-cheshire.ac.uk, South Cheshire College
s-devon.ac.uk, South Devon College
sac.ac.uk, The Scottish Agricultural College
sacca.ac.uk, The Quality Assurance Agency for Higher Education
saclnet.ac.uk, Southend on Sea Borough Council
sacwg.ac.uk, The Student Assessment and Classification Working Group
saes.ac.uk, Stockton Borough Council
safa.ac.uk, Scottish Advanced Formal Analysis
sages.ac.uk, University of Edinburgh
sahfos.ac.uk, Natural Environment Research Council
sainsbury-laboratory.ac.uk, The Sainsbury Laboratory
sainsburyinstituteforart.ac.uk, University of East Anglia
salford-col.ac.uk, Salford College
salford.ac.uk, University of Salford
salfordcc.ac.uk, Salford City College
salfordcitycollege.ac.uk, Salford City College
salisbury-college.ac.uk, Wiltshire College
salisbury.ac.uk, Wiltshire College
salisburycollege.ac.uk, Salisbury College
saltash.ac.uk, Cornwall College
salts.ac.uk, North West Regional College
samc.ac.uk, Scottish Advanced Manufacturing Centre
sams.ac.uk, Scottish Association for Marine Science
sandwell.ac.uk, Sandwell College
sandwellcollege.ac.uk, Sandwell College
sanger.ac.uk, Genome Research Limited
sapc.ac.uk, Society for Academic Primary Care
sapphire.ac.uk, The Scottish Archive of Print and Publishing History Records
sari.ac.uk, The Macaulay Land Use Research Institute
sartre.ac.uk, Cardiff University
sarum.ac.uk, Sarum College
sas.ac.uk, University of London
sbc.ac.uk, South Birmingham College
sbirmc.ac.uk, South Birmingham College
sbrn.ac.uk, University of Dundee
sbu.ac.uk, London South Bank University
sc-toolkit.ac.uk, Medical Research Council
sc1.ac.uk, The Royal Society
scaan.ac.uk, Scottish Computer Assisted Assessment Network
scarb-6-form.ac.uk, Scarborough Sixth Form College
sccc.ac.uk, Scottish Consultative Council on the Curriculum
sccjr.ac.uk, University of Stirling
scct.ac.uk, Sports Coaching Competences for Teachers
sce.ac.uk, Stevenson College Edinburgh
schillerlondon.ac.uk, Schiller International University
schml.ac.uk, University of Southampton
schome.ac.uk, The Open University
schoms.ac.uk, Aston University
school-economic-science.ac.uk, The School of Economic Science
sci.ac.uk, Scottish Further Education Unit
sciencesigns.ac.uk, University of Wolverhampton
scills.ac.uk, University of Dundee
scilly-acl.ac.uk, Council of the Isles of Scilly:  Lifelong Learning
scinet.ac.uk, John Innes Institute
scir.ac.uk, Scottish Centre for Information Research
scisci.ac.uk, University of Glasgow
scitech.ac.uk, Science and Technology Facilities Council
scoc.ac.uk, Scottish Churches' Open College
scodhe.ac.uk, University of Winchester
scola.ac.uk, London Borough of Sutton
sconul.ac.uk, "Society of College,  National & University Libraries"
scoopstudy.ac.uk, University of East Anglia
scop.ac.uk, GuildHE
scope-uk.ac.uk, "Imperial College of Science,  Technology and Medicine"
scopic.ac.uk, University of Cambridge
score.ac.uk, London Business School
scot-hip.ac.uk, University of Dundee
scot-ship.ac.uk, University of Dundee
scot.ac.uk, Scottish College of Textiles
scotcatproject.ac.uk, University of Abertay Dundee
scotchem.ac.uk, University of Glasgow
scotcit.ac.uk, SHEFC C& IT Programme
scotcol.ac.uk, Scottish Further Education Unit
scotgrid.ac.uk, ScotGRID
scotland-aspirenorth.ac.uk, North Forum for Widening Participation in Further and Higher Education
scotland-northforum.ac.uk, University of Aberdeen
scotlandscolleges.ac.uk, Scottish Further Education Unit
scottishborderscampus.ac.uk, Borders College
scottishciviljustice.ac.uk, University of Aberdeen
scottishcorpus.ac.uk, Scottish Corpus of Texts and Speech
scottishdisabilityteam.ac.uk, Scottish Disability Team
scottisheconomics.ac.uk, University of Stirling
scottishinsight.ac.uk, University of Strathclyde
scottishmarineinstitute.ac.uk, Scottish Marine Institute
scottishresearch.ac.uk, Scottish Funding Councils for Further and Higher Education
scottishresearchpools.ac.uk, The Scottish Further and Higher Education Funding Council
scphrp.ac.uk, Medical Research Council
scpr.ac.uk, National Centre for Social Research
scran.ac.uk, Scottish Cultural Resources Access Network
scre.ac.uk, University of Glasgow
screenacademyscotland.ac.uk, The Edinburgh College of Art
scri.ac.uk, Scottish Crop Research Institute
scrolla.ac.uk, Scottish Centre for Research into On-Line Learning & Assessment
scrsj.ac.uk, Scottish Centre for Research on Social Justice
scurl.ac.uk, Scottish Confederation of University and Research Service
scutrea.ac.uk, Standing Conference on University Teaching and Research in the Education of Adults
scva.ac.uk, University of East Anglia
scweims.ac.uk, Student Centric Web-based Educational & Information Management System- Edinburgh
sdc.ac.uk, Sussex Downs College
sdhi.ac.uk, University of Dundee
sdn.ac.uk, University of Leeds
sdss.ac.uk, University of Edinburgh
sdt.ac.uk, Scottish Disability Team
se-derbys.ac.uk, South East Derbyshire College
se-essex-college.ac.uk, South Essex College of Further and Higher Education
sea-mammal-research-unit.ac.uk, Sea Mammal Research Unit
seacams.ac.uk, Bangor University
search.ac.uk, UK Academic Web Searching
seas.ac.uk, University of Sheffield
secureharvests.ac.uk, Biotechnology and Biological Sciences Research Council
seda.ac.uk, Association of Commonwealth Universities
sedc.ac.uk, Derby College
sedg.ac.uk, The University of Manchester
seecoll.ac.uk, South Essex College of Further and Higher Education
seevic-college.ac.uk, South East Essex Sixth Form College
seevic.ac.uk, South East Essex Sixth Form College
sefton-acl.ac.uk, Sefton Council
sefton.ac.uk, Southport College
selby.ac.uk, Selby College
sellyoak.ac.uk, The Council of Selly Oak Colleges Ltd.
selsey.ac.uk, Selsey Outcentre for Chichester College
sense-east.ac.uk, Sense East
sepnet.ac.uk, University of Southampton
sera.ac.uk, Scottish Educational Research Association
serc-enterprise.ac.uk, South Eastern Regional College
serc.ac.uk, South Eastern Regional College
serena.ac.uk, University of Dundee
serio.ac.uk, University of Plymouth
sessa.ac.uk, Southern England Students Sports Association
setsquared.ac.uk, University of Bath
sfc.ac.uk, The Scottish Further and Higher Education Funding Council
sfefc.ac.uk, The Scottish Further and Higher Education Funding Council
sfeu.ac.uk, Scottish Further Education Unit
sfhub.ac.uk, University of Liverpool
sfps.ac.uk, Roehampton University
sfra.ac.uk, Heriot-Watt University
sfre.ac.uk, British Educational Research Association
sfs.ac.uk, The Society for French Studies
sfx.ac.uk, St Francis Xavier Sixth Form College
sghms.ac.uk, St. George's Hospital Medical School
sgiliaith.ac.uk, Coleg Meirion Dwyfor
sgm.ac.uk, Society for General Microbiology
sgmc.ac.uk, Sir George Monoux College
sgpe.ac.uk, Scottish Graduate Programme in Economics
sgul.ac.uk, St George's Hospital Medical School
sharedsolutions.ac.uk, The Open University
sharegeo.ac.uk, University of Edinburgh
sharingpractice.ac.uk, University of Kent
sheef.ac.uk, University of Strathclyde
shef.ac.uk, University of Sheffield
shefc.ac.uk, The Scottish Further and Higher Education Funding Council
sheffcol.ac.uk, The Sheffield College
sheffield-hallam.ac.uk, Sheffield Hallam University
sheffield-lls.ac.uk, Sheffield City Council
sheffield.ac.uk, University of Sheffield
sheffieldcareersfairs.ac.uk, University of Sheffield
sheffieldcetle.ac.uk, University of Sheffield
sheffieldlegalfair.ac.uk, University of Sheffield
shenasimon.ac.uk, Shena Simon College
sherpa-leap.ac.uk, University College London
sherpa.ac.uk, Securing a Hybrid Environment for Research Preservation and Access.
shiplay.ac.uk, UNKNOWN via DNS upload
shipley.ac.uk, Shipley College
shipleycollege.ac.uk, Shipley College
shootershill.ac.uk, Shooters Hill Post 16 Campus
shrewsbury.ac.uk, Shrewsbury College of Arts and Technology
shu.ac.uk, Sheffield Hallam University
shuttleworth.ac.uk, Bedford College
shuttleworthcollege.ac.uk, Bedford College
sicsa.ac.uk, University of Edinburgh
side.ac.uk, University of Newcastle upon Tyne
sie.ac.uk, Scottish Institute for Enterprise
sifa.ac.uk, University of East Anglia
sigma-cetl.ac.uk, Loughborough University
sigma-network.ac.uk, Loughborough University
sign.ac.uk, Scottish Intercollegiate Guidelines Network
sihe.ac.uk, Swansea Metropolitan University
sikh-uni.ac.uk, World Sikh University London
simbios.ac.uk, University of Abertay Dundee
simian.ac.uk, University of Surrey
sinapse.ac.uk, University of Edinburgh
sinet.ac.uk, The University of Manchester
singlecellanalysis.ac.uk, "Imperial College of Science,  Technology and Medicine"
singlecellproteomics.ac.uk, "Imperial College of Science,  Technology and Medicine"
sinica.ac.uk, University of Oxford
sino-cs.ac.uk, University of Abertay Dundee
sipr.ac.uk, University of Dundee
sire.ac.uk, Scottish Institute for Research in Economics
sirius.ac.uk, Science and Technology Facilities Council
sis.ac.uk, University of Oxford
siser.ac.uk, Heriot-Watt University
sit.ac.uk, Suffolk New College
siti.ac.uk, The Scottish International Tourism Institute
siva.ac.uk, The UK Society for Intravenous Anaesthesia
sjd.ac.uk, Sir John Deane's College
sjr.ac.uk, St John Rigby College
skelmersdale.ac.uk, Newcastle College
skillswestyorks.ac.uk, University of Huddersfield
slc.ac.uk, South Lanarkshire College
slcollege.ac.uk, South Leicestershire College
slcs.ac.uk, MyScience.co Limited
sleaford.ac.uk, Boston College
slg.ac.uk, Newcastle-under-Lyme College
sli-institute.ac.uk, Institute for System Level Integration
sloan.ac.uk, London Business School
slsa.ac.uk, University of Kent
sma.ac.uk, Society for Music Analysis
small-angle.ac.uk, Science and Technology Facilities Council
smart.ac.uk, School of Music and Recording Technology
smc.ac.uk, St Mary's College
smcblackburn.ac.uk, St Mary's College Blackburn
smcl.ac.uk, St Mary's College
smg.ac.uk, Higher Education Funding Council for England
smi.ac.uk, Scottish Marine Institute
smithinst.ac.uk, Smith Institute
sml.ac.uk, St Mary's College
smru.ac.uk, Sea Mammal Research Unit
smsj.ac.uk, The College of St. Mark and St. John
smstc.ac.uk, Heriot-Watt University
smu.ac.uk, Swansea Metropolitan University
smuc.ac.uk, "St Mary's University College,  Twickenham"
smucb.ac.uk, St Mary's University College
snc.ac.uk, South Nottingham College
soas.ac.uk, School of Oriental and African Studies
soc.ac.uk, "National Oceanography Centre,  Southampton"
socialpolicy.ac.uk, London School of Economics Social Policy Department
socialsciences.ac.uk, London School of Economics
societyofjewelleryhistorians.ac.uk, The Society of Jewellery Historians
societyoflegalscholars.ac.uk, The Society of Legal Scholars
socres.ac.uk, National Centre for Social Research
socsciscotland.ac.uk, University of Edinburgh
software.ac.uk, University of Edinburgh
soillse.ac.uk, University of the Highlands and Islands
solent-university.ac.uk, Southampton Solent University
solent.ac.uk, Southampton Solent University
solentuniversity.ac.uk, Southampton Solent University
solihull.ac.uk, Solihull College
solihullsfc.ac.uk, "The Sixth Form College,  Solihull"
solsfc.ac.uk, "The Sixth Form College,  Solihull"
somerset.ac.uk, Somerset College of Arts and Technology
somersetcollege.ac.uk, Somerset College of Arts and Technology
somersetcolleges.ac.uk, Richard Huish College
sothebys-institute.ac.uk, Sotheby's Institute
soton.ac.uk, University of Southampton
sots.ac.uk, University of Cambridge
soundsoftware.ac.uk, "Queen Mary and Westfield College,  University of London"
soundwell.ac.uk, Soundwell College
source.ac.uk, The Open University
south-lanarkshire-college.ac.uk, South Lanarkshire College
south-nottingham.ac.uk, South Nottingham College
south-thames.ac.uk, South Thames College
southampton-city.ac.uk, Southampton City College
southampton-institute.ac.uk, Southampton Institute of HE
southampton-solent-university.ac.uk, Southampton Solent University
southampton.ac.uk, University of Southampton
southamptonsolentuniversity.ac.uk, Southampton Solent University
southbank-university.ac.uk, Southbank University
southcheshirecollege.ac.uk, South Cheshire College
southcoll-bolton.ac.uk, South College Bolton
southdevon.ac.uk, South Devon College
southdowns.ac.uk, South Downs College
southeastdtc.ac.uk, University of Surrey
southeastessex.ac.uk, South East Essex College
southeastscotlandforum.ac.uk, South East Forum
southend-acl-college.ac.uk, Southend on Sea Borough Council
southend-adult.ac.uk, Southend Adult Community College
southend.ac.uk, South Essex College of Further and Higher Education
southendcollege.ac.uk, South East Essex College
southessex.ac.uk, South Essex College of Further and Higher Education
southessexcollege.ac.uk, South East Essex College
southgate.ac.uk, Southgate College
southgrid.ac.uk, Science and Technology Facilities Council
southkent.ac.uk, South and West Kent College
southport-college.ac.uk, Southport College
southport.ac.uk, Southport College
southsefton6thform.ac.uk, South Sefton 6th Form College
southsefton6thformcollege.ac.uk, South Sefton 6th Form College
southseftoncollege.ac.uk, South Sefton 6th Form College
southstaffs.ac.uk, South Staffordshire College
southwark.ac.uk, Southwark College
southwestcollege.ac.uk, South West College
spa.ac.uk, UCAS Limited
spalding.ac.uk, Boston College
sparc.ac.uk, The University of Reading
sparqs.ac.uk, sparqs
sparsholt.ac.uk, "Sparsholt College,  Hampshire"
spat.ac.uk, University of Plymouth
spatialeconomics.ac.uk, London School of Economics and Political Science
spc.ac.uk, Regent's College
speedproject.ac.uk, Staffordshire University
spelthorne.ac.uk, Spelthorne College
sphere.ac.uk, The Higher Education Academy
spider.ac.uk, Science and Technology Facilities Council
spin.ac.uk, Universities Scotland
spinesurgeons.ac.uk, The British Association of Spine Surgeons
splint-cetl.ac.uk, University of Leicester
spokenword.ac.uk, Glasgow Caledonian University
spr.ac.uk, Society for Psychical Research
sprg.ac.uk, The University of Manchester
spsrn.ac.uk, Scottish Patient Safety Research Network
spurgeons.ac.uk, Spurgeons College
sqhwesternconsortium.ac.uk, University of Strathclyde
src.ac.uk, Southern Regional College
srf.ac.uk, Science Research Foundation
srhe.ac.uk, Society for Research into Higher Education
srip.ac.uk, University of Nottingham
sroc.ac.uk, The University of Northampton
srs.ac.uk, Science and Technology Facilities Council
ssees.ac.uk, School of Slavonic and East European Studies
ssfc.ac.uk, Shrewsbury Sixth Form College
ssmh.ac.uk, Scottish Further Education Unit
sspc.ac.uk, University of Dundee
sspf.ac.uk, Scottish Structural Proteomics Facility
sssfc.ac.uk, South Sefton 6th Form College
ssu.ac.uk, Southampton Solent University
st-and.ac.uk, University of St Andrews
st-andrews.ac.uk, University of St Andrews
st-austell.ac.uk, Cornwall College
st-davids-coll.ac.uk, St David's Catholic College
st-ives.ac.uk, Penwith College
st-lukescatholicsixthform.ac.uk, St. Luke's Catholic Sixth Form College
st-patricks.ac.uk, St. Patrick's International College
stac.ac.uk, St. Andrew's College
staffdevelopment.ac.uk, The Staff Development Forum
staffordcoll.ac.uk, Stafford College
staffordshire.ac.uk, Staffordshire University
staffs.ac.uk, Staffordshire University
stamford.ac.uk, New College Stamford
stanmore.ac.uk, Stanmore College
star.ac.uk, University of Edinburgh
starlink.ac.uk, Science and Technology Facilities Council
stars.ac.uk, Coventry University
starsprocess.ac.uk, CETL Bedfordshire
statistics.ac.uk, Higher Education Statistics Agency
statstutor.ac.uk, Loughborough University
stbr.ac.uk, St Brendans Sixth Form College
stbrendans.ac.uk, St Brendans Sixth Form College
stbrn.ac.uk, St Brendan's Sixth Form College
stc.ac.uk, South Tyneside College
stchads.ac.uk, St. Chads College
stcharles.ac.uk, St. Charles Catholic Sixth Form College
stclares.ac.uk, St. Clare's College Oxford
stcoll.ac.uk, Trafford College
stdoms.ac.uk, St Dominic's Sixth Form College
stec.ac.uk, University of Edinburgh
stem-transition.ac.uk, University of Liverpool
stem.ac.uk, University of Birmingham
stephenson.ac.uk, Steohenson College Coalville
stephensoncoll.ac.uk, Stephenson College
sterling.ac.uk, University of Stirling
stets.ac.uk, The Southern Theological Educational & Training Scheme
stevenson.ac.uk, Stevenson College Edinburgh
stfc.ac.uk, Science and Technology Facilities Council
stgeorges.ac.uk, St George's Hospital Medical School
sth-leic-coll.ac.uk, South Leicstershire College
sthelens.ac.uk, St Helens College
sthelensacl.ac.uk, "Adult and Community Learning,  St. Helens"
stir.ac.uk, University of Stirling
stirling.ac.uk, University of Stirling
stjohns-nottm.ac.uk, St. John's College - Nottingham
stloyes.ac.uk, St Loye's College Foundation
stlukes.ac.uk, St. Luke's Adult Education Centre
stmartins.ac.uk, The University of Cumbria
stmarys-belfast.ac.uk, St Mary's University College
stmarys-blackburn.ac.uk, St. Mary's College - Blackburn
stmarys-sfc.ac.uk, St. Mary's Sixth Form College
stmarysblackburn.ac.uk, St Mary's College Blackburn
stmaryslondon.ac.uk, St. Mary's Sixth Form College
stmichaels.ac.uk, St. Michael's Theological College
stockbill.ac.uk, Stockton Riverside College
stockport.ac.uk, Stockport College
stockton.ac.uk, Stockton Riverside College
stocktonsfc.ac.uk, Stockton Sixth Form College
stocsf.ac.uk, Stockton Sixth Form College
stoke6fc.ac.uk, City of Stoke-on-Trent Sixth Form College
stokecoll.ac.uk, Stoke-on-Trent College
stokecollege.ac.uk, Stoke-on-Trent College
stokesfc.ac.uk, City of Stoke-on-Trent Sixth Form College
stomp.ac.uk, University of Surrey
stonyhurst.ac.uk, Stonyhurst College
storcuram.ac.uk, University of Strathclyde
stourbridge.ac.uk, Stourbridge College
stow.ac.uk, Stow College
stran.ac.uk, Stranmillis University College
strat-avon.ac.uk, Stratford-upon-Avon College
stratavoncol.ac.uk, Stratford-upon-Avon College
stratford.ac.uk, Stratford-upon-Avon College
stratfordislanduniversitycentre.ac.uk, Birkbeck College
stratforduniversitycentre.ac.uk, Birkbeck College
stratgroup.ac.uk, Sequence Stratigraphy Research Group- University of Liverpool
strath.ac.uk, University of Strathclyde
strathclyde.ac.uk, University of Strathclyde
strathmore.ac.uk, Strathmore College
strode-coll.ac.uk, Strode College
strode-college.ac.uk, Strode College
strodes.ac.uk, Strode's College
strodeslanguages.ac.uk, Strode's College
stroud.ac.uk, Stroud College in Gloucestershire
stroudcol.ac.uk, Stroud College in Gloucestershire
stroudcollege.ac.uk, Stroud College
ststephenshouse.ac.uk, St. Stephens House
sttc.ac.uk, The Scottish Technology Centre
studentshows.ac.uk, University for the Creative Arts
studyinengland.ac.uk, South Leicestershire College
studyingeconomics.ac.uk, University of Bristol
studyinglanguages.ac.uk, University of Southampton
studylondon.ac.uk, London Higher
stvincent.ac.uk, St. Vincent College
submit.ac.uk, Joint Information Systems Committee
suburbansolutions.ac.uk, University of Cambridge
succeeds.ac.uk, Scottish University - Consortium Career Planning and Employment
suffolk-maag.ac.uk, Suffolk Medical Audit Advisory Group
suffolk.ac.uk, Suffolk New College
suffolkbusinessschool.ac.uk, Televersity for Suffolk Company Limited
sulc.ac.uk, Staffordshire University
sulsa.ac.uk, University of Edinburgh
sums.ac.uk, Sheffield University Management School
sumsconsulting.ac.uk, Procureweb
suncat.ac.uk, University of Edinburgh
suncol.ac.uk, Sunderland College
sund.ac.uk, University of Sunderland
sunderland.ac.uk, University of Sunderland
sunitec.ac.uk, Sunderland ITEC
supa.ac.uk, University of Edinburgh
supc.ac.uk, Cardiff University
superdarn.ac.uk, University of Lancaster
superjanet.ac.uk, The JNT Association
superjournal.ac.uk, The University of Manchester
supply-chain.ac.uk, Ayr College
surf.ac.uk, Staffordshire University
surrart.ac.uk, University for the Creative Arts
surrealismcentre.ac.uk, The University of Manchester
surrey.ac.uk, University of Surrey
surreyacl.ac.uk, Surrey Adult and Community Learning
surreyibc.ac.uk, University of Surrey
surreyspace.ac.uk, Surrey Space Technology Limited
surveynet.ac.uk, University of Essex
sussex.ac.uk, University of Sussex
sussexcoast.ac.uk, "Sussex Coast College,  Hastings"
sussexdowns.ac.uk, Sussex Downs College
sussexmedicalschool.ac.uk, University of Brighton
sussexvirtualcollege.ac.uk, Central Sussex College
sussp.ac.uk, Scottish Universities Summer Schools in Physics
sustainablelifestyles.ac.uk, University of Surrey
sustainablepractices.ac.uk, The University of Manchester
sustainableproperty.ac.uk, Kingston University
sustainabletechnologies.ac.uk, Brunel University
susx.ac.uk, University of Sussex
sutcol.ac.uk, Birmingham Metropolitan College
sutcoll.ac.uk, Birmingham Metropolitan College
swan.ac.uk, Swansea University
swancoll.ac.uk, Gower College Swansea
swanmet.ac.uk, Swansea Metropolitan University
swansea-institute.ac.uk, Swansea Institute of Higher Education
swansea.ac.uk, Swansea University
swanseamet.ac.uk, Swansea Metropolitan University
swap.ac.uk, The Centre for Human Service Technology
swapbox.ac.uk, University of Southampton
swarf.ac.uk, Scottish Wider Access Regional Forums
swc.ac.uk, South West College
sweltec.ac.uk, South West London Teacher Education Consortium
swift.ac.uk, University of Leicester
swincoll.ac.uk, Swindon College
swindon-college.ac.uk, Swindon College
swindon.ac.uk, Swindon College
swindonart.ac.uk, Swindon Art College
swlacademicnetwork.ac.uk, SouthWest London Academic Network
swlc.ac.uk, Southall & West London College
swlln.ac.uk, Bournemouth University
sworcs.ac.uk, South Worcestershire College
swsummerschools.ac.uk, "University of the West of England,  Bristol"
swurcc.ac.uk, South West University Regional
swwcte.ac.uk, Swansea Metropolitan University
swwhep.ac.uk, Swansea University
sx.ac.uk, University of Essex
sycolleges.ac.uk, The Sheffield College
syfec.ac.uk, The Sheffield College
symonds.ac.uk, Peter Symonds College
symphonycentre.ac.uk, Symphony Assessment & Training Ltd
synbiostandards.ac.uk, University of Edinburgh
syntheticbiology.ac.uk, Biotechnology and Biological Sciences Research Council
syracuse-u.ac.uk, Syracuse University
tab.ac.uk, South Essex College of Further and Higher Education
tabeisa.ac.uk, Technical and Business Education Initiative in South Africa
tacc.ac.uk, Thurrock Council
tags.ac.uk, University of St Andrews
tait.ac.uk, University of Edinburgh
talent.ac.uk, "Institute of Education,  University of London"
talkinghealthmatters.ac.uk, University of Newcastle upon Tyne
tamescol.ac.uk, Tameside College
tameside-acl.ac.uk, Tameside Metropolitan Borough Council
tameside.ac.uk, Tameside College
tamesidecollege.ac.uk, Tameside College of Technology
tamworth.ac.uk, South Staffordshire College
tamworthandlichfield.ac.uk, South Staffordshire College
targetedgrad.ac.uk, The University of Manchester
tarn.ac.uk, The UK Trauma Audit & Research Network
tasc.ac.uk, Leeds Trinity University College
tasi.ac.uk, Technical Advisory Service for Images
tau.ac.uk, JISC Monitoring & Advisory Unit
tauntons.ac.uk, Taunton's College
tavi-port.ac.uk, Tavistock and Portman NHS Foundation Trust
tavistockandportman.ac.uk, Tavistock and Portman NHS Foundation Trust
tay.ac.uk, University of Abertay Dundee
tbm.ac.uk, The British Museum
tcat.ac.uk, Telford College of Arts and Technology
tcch.ac.uk, Hackney Community College
tccr.ac.uk, The Tavistock Centre for Couple Relationships
tcm.ac.uk, Trinity Laban Conservatoire of Music and Dance
teamwork.ac.uk, Marketing Graduate Skills Project- LSE/Oxford Brookes University
tean.ac.uk, The University of Cumbria
techcentre.ac.uk, The JISC Technologies Centre
techdis.ac.uk, Joint Information Systems Committee
techextra.ac.uk, Heriot-Watt University
techinfonet.ac.uk, University of Northumbria at Newcastle
techxtra.ac.uk, Heriot-Watt University
teds.ac.uk, Twins Early Development Study
tees.ac.uk, Teesside University
teeslearn.ac.uk, Middlesbrough Borough Council
teesside.ac.uk, University of Teesside
teesvalley-acl.ac.uk, Middlesbrough Borough Council
tel.ac.uk, "Institute of Education,  University of London"
tellus.ac.uk, University of Plymouth
telri.ac.uk, University of Warwick
temenos.ac.uk, Temenos
tempusuk.ac.uk, EC Tempus Programme- University of Kent
tenders.ac.uk, Procureweb
tentowns.ac.uk, St George's Hospital Medical School
testa.ac.uk, University of Winchester
tex.ac.uk, The UK TeX Archive
textminingcentre.ac.uk, The University of Manchester
tgac.ac.uk, The Genome Analysis Centre
thamesgatewaycollege.ac.uk, Havering College of Further and Higher Education
thanet.ac.uk, Thanet College
thatcham.ac.uk, Newbury College
the-british-museum.ac.uk, The British Museum
the-britishmuseum.ac.uk, The British Museum
thearden.ac.uk, The Manchester College
thebcc.ac.uk, The Building Crafts College
thebritishacademy.ac.uk, The British Academy
thebritishmuseum.ac.uk, The British Museum
thecobaltstudy.ac.uk, The CoBalT study
thecontactpartnership.ac.uk, University of Salford
thedigitalpicture.ac.uk, University for the Creative Arts
theglobalsite.ac.uk, University of Sussex
thegraduationproject.ac.uk, The Graduation Project
thehenleycollege.ac.uk, The Henley College
theinternetlawschool.ac.uk, The Internet Law School
thelearningmatrix.ac.uk, Joint Information Systems Committee
themanchestercollege.ac.uk, The Manchester College
theroslininstitute.ac.uk, University of Edinburgh
thesesalive.ac.uk, University of Edinburgh
thewomenslibrary.ac.uk, London Metropolitan University
thomasdanby.ac.uk, Leeds City College
thomroth.ac.uk, Thomas Rotherham College
thurrock.ac.uk, South Essex College of Further and Higher Education
thurrockcampus.ac.uk, South Essex College of Further and Higher Education
tic.ac.uk, Birmingham City University
tictocs.ac.uk, University of Liverpool
tiipple.ac.uk, Trent Institute of Inter Professional Practice Learning and Education
tilehill.ac.uk, City College Coventry
tipple.ac.uk, University of Nottingham
tlc.ac.uk, South Staffordshire College
tlccollege.ac.uk, TLC College
tltp.ac.uk, Teaching and Learning Technical Project
tmn.ac.uk, University of Leeds
toia.ac.uk, University of Strathclyde
tombola.ac.uk, Trial of the Management of Borderline & Other Low-grade Abnormal Smears Research Trial
totton.ac.uk, Totton College
tower.ac.uk, Tower Hamlets College
towerhamletscollege.ac.uk, Tower Hamlets College
towerhamletsllls.ac.uk, London Borough of Tower Hamlets
towerhamletslls.ac.uk, London Borough of Tower Hamlets
tpc.ac.uk, Portsmouth College
tpmde.ac.uk, London Deanery
tracingnetworks.ac.uk, University of Leicester
traffcoll.ac.uk, Trafford College
trafford.ac.uk, Trafford College
traffordcollege.ac.uk, Trafford College
traintogainstoke.ac.uk, Stoke-on-Trent College
transitwestyorkshire.ac.uk, University of Bradford
tresham.ac.uk, Tresham Institute
tri-london.ac.uk, Thrombosis Research Institute
trident.ac.uk, "Warwickshire College,  Royal Leamington Spa,  Rugby and Moreton Morrell"
trilt.ac.uk, British Universities Film & Video Council
trinity-bris.ac.uk, Trinity College Bristol
trinity-cm.ac.uk, University of Wales Trinity Saint David
trinitylaban.ac.uk, Trinity Laban Conservatoire of Music and Dance
trinitysaintdavid.ac.uk, University of Wales Trinity Saint David
trocoll.ac.uk, Wiltshire College
tropmed.ac.uk, St George's Hospital Medical School
truro-penwith.ac.uk, Truro and Penwith College
truro.ac.uk, Truro College
trurocollege.ac.uk, Truro College
truropenwith.ac.uk, Truro and Penwith College
tsd.ac.uk, University of Wales Trinity Saint David
tse.ac.uk, Transmissible Spongiform Encephalopathies- Institute for Animal Health- NPU
tsec-biosys.ac.uk, "Imperial College of Science,  Technology and Medicine"
tsl.ac.uk, The Sainsbury Laboratory of the John Innes Centre
tsrc.ac.uk, University of Birmingham
ttc.ac.uk, Teeside Tertiary
ttrb.ac.uk, Teacher Training Resource Bank
tuca.ac.uk, Tunnelling and Underground Construction Academy
turbulence.ac.uk, Science and Technology Facilities Council
tvu.ac.uk, The University of West London
twin-research.ac.uk, St. Thomas' Hospital
twinsuk.ac.uk, King's College London
twirl.ac.uk, Tyne & Wear Information Resources for Learning
tyndall.ac.uk, The Tyndall Centre for Climate Change Research
tynecoll.ac.uk, Tyne Metropolitan College
tynemet.ac.uk, Tyne Metropolitan College
u-westminster.ac.uk, University of Westminster
uad.ac.uk, University of Abertay Dundee
uag.ac.uk, Universities Advertising Group
uall.ac.uk, Universities Association for Lifelong Learning
uas.ac.uk, Undergraduate Ambassadors Limited
ubi.ac.uk, Southern Regional College
ubifhe.ac.uk, Southern Regional College
uc-scarborough.ac.uk, University College Scarborough
ucam.ac.uk, University of Cambridge
